"","Title","Writer","averageRating","ratingAmount","reviewAmount","Summary"
"11","Selections from Harry Potter and the Order of the Phoenix: Piano Solos","John   Williams, Nicholas Hooper","4.71","49176","23","Watching the characters from J.K. Rowling's Harry Potter and the Order of the Phoenix(tm) come alive is made only more delightful by the extraordinary soundtrack that enhances Harry, Hermione, Ron's adventures.Alfred presents this selection of music from the soundtrack to the major motion picture arranged for advanced solo piano. Titles are Dumbledore's Army * Fireworks * Flight of the Order of the Phoenix * Loved Ones & Leaving * The Ministry of Magic * Professor Umbridge * The Room of Requirement * (Bonus Selection) Hedwig's Theme."
"12","Harry Potter Collection","J.K. Rowling","4.73","31589","926","Six years of magic, adventure, and mystery make this luxurious boxed set the perfect gift for Harry Potter fans of all ages. Follow Harry from his first days at Hogwarts School for Witchcraft and Wizardry, through his many adventures with Hermione and Ron, to his confrontations with rival Draco Malfoy and the dreaded Professor Snape. From the thrilling search for the Sorcerer's Stone to the Triwizard Tournament to the return of He-Who-Must-Not-Be-Named, each adventure is more riveting and exhilarating than its predecessor, and now all six books are available together for the first time in an elegant hardcover boxed set."
"13","Harry, a History: The True Story of a Boy Wizard, His Fans, and Life Inside the Harry Potter Phenomenon","Melissa Anelli, J.K. Rowling","4.12","15208","708","THE HARRY POTTER BOOKS WERE JUST THE BEGINNING OF THE STORY... During the brief span of just one decade, hundreds of millions of perfectly ordinary people made history: they became the only ones who would remember what it was like when the Harry Potter saga was still unfinished. What is was like to seek out friends, families, online forums, fan fiction, and podcasts to get a fix between novels. When the potential death of a character was a hotter bet than the World Series. When the unfolding story of a boy wizard changed the way books are read for all time. And a webmistress of the Leaky Cauldron, one of the most popular Harry Potter sites on the Internet, Melissa Anelli had a front row seat to it all. Whether it was helping Scholastic stop leaks and track down counterfeiters, hosting live PotterCasts at bookstores across the country, touring with the wizard rock band Harry and the Potters, or traveling to Edinburgh to interview J.K. Rowling personally, Melissa was at the center of the Harry Potter tornado, and nothing about her life would ever be the same. The Harry Potter books are a triumph of the imagination that did far more than break sales records for all time. They restored the world's sense of wonder and took on a magical life of their own. Now the series has ended, but the story is not over. With remembrances from J.K. Rowling's editors, agents, publicists, fans and Rowling herself, Melissa Anelli takes us on a personal journey through every aspect of the Harry Potter phenomenon--from his very first spell to his lasting impact on the way we live the dream."
"14","The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for Wizards and Non-Wizards Alike","Dinah Bucholz",NA,"15248","450","Bangers and mash with Harry, Ron, and Hermione in the Hogwarts dining hall. A proper cuppa tea and rock cakes in Hagrid's hut. Cauldron cakes and pumpkin juice on the Hogwarts Express. With this cookbook, dining a la Hogwarts is as easy as Banoffi Pie! With more than 150 easy-to-make recipes, tips, and techniques, you can indulge in spellbindingly delicious meals drawn straight from the pages of your favorite Potter stories, such as:Treacle Tart--Harry's favorite dessert, Molly's Meat Pies--Mrs. Weasley's classic dish, Kreacher's French Onion Soup, Pumpkin Pasties--a staple on the Hogwarts Express cartWith a dash of magic and a drop of creativity, you'll conjure up the entries, desserts, snacks, and drinks you need to transform ordinary Muggle meals into magickal culinary masterpieces, sure make even Mrs. Weasley proud!"
"15","Harry Potter: A History of Magic","","4.22","15003","859",NA
"16","Harry Potter and the Chamber of Secrets: Sheet Music for Flute with CD","John   Williams","4.63","112457","84","Alfred Music Publishing is the world-s largest educational music publisher. Alfred produces educational, reference, pop, and performance materials for teachers, students, professionals, and hobbyists spanning every musical instrument, style, and difficulty level. Alfred¡¯s home office is located in Los Angeles with domestic offices in Miami and New York as well as offices around the world, including Australia, Germany, Singapore, and the United Kingdom. In addition to its own titles, Alfred distributes products from over 50 companies, including Belwin, Daisy Rock Girl Guitars, Dover Publications, DW Drums, Faber Music, Highland/Etling, Kalmus, National Guitar Workshop, Penguin, TASCAM, Ultimate Support, and WEA. All editions are compatible and can be played separately or together. The included CD contains a demonstration of each song followed by a play-along track. Titles are: The Chamber of Secrets * Dobby the House Elf * Family Portrait * Fawkes the Phoenix * Gilderoy Lockhart * Harry¡¯s Wondrous World * Hedwig s Theme * Moaning Myrtle * Nimbus 2000.Contributors: Music by John WilliamsGenre: MovieInstrument: FluteFormat: Book & CDCategory: Instrumental Series"
"17","Harry Potter And The Half Blood Prince: (Piano Solo)","Nicholas Hooper","4.74","23362","15",NA
"18","Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)","J.K. Rowling, Mary GrandPre","4.78","69172","195",NA
"19","Harry Potter: The Prequel","J.K. Rowling","4.17","21815","1512",NA
"20","Harry Potter: Film Wizardry","Brian Sibley","4.5","59590","582","Harry Potter: Film Wizardry gives readers a front row seat to the magical journey that brought J.K. Rowling's wizarding world to the big screen. Step off Platform Nine and Three Quarters and into the hidden world behind the scenes of the Harry Potter film series. Brian Sibley is the author of other bestselling behind-the-screen books, like The Lord of the Rings: The Making of the Movie Trilogy and The Land of Narnia. The book includes Producer's Diaries from the Harry Potter films' executive producer David Heyman."
"21","Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)","J.K. Rowling, Mary GrandPre","4.78","69172","195","Box Set containing Harry Potter and the Sorcerer's Stone, Harry Potter and the Chamber Of Secrets, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Goblet Of Fire, and Harry Potter and the Order of the Phoenix!"
"22","Harry Potter and Philosophy: If Aristotle Ran Hogwarts","David Baggett, Shawn E. Klein","4.48","11977","99","In Harry Potter and Philosophy, seventeen philosophical experts unlock some of Hogwarts' secret panels, and uncover surprising insights that are enlightening both for wizards and the most discerning muggles."
"23","The Sorcerer's Companion: A Guide to the Magical World of Harry Potter","Allan Zola Kronzek, Elizabeth Kronzek","4.05","8327","145","The New York Times bestseller, now fully updated to include Harry Potter and the Order of the PhoenixWho was the real Nicholas Flamel? How did the Sorcerer¡¯s Stone get its power? Did J. K. Rowling dream up the terrifying basilisk, the seductive veela, or the vicious grindylow? And if she didn¡¯t, who did?Millions of readers around the world have been enchanted by the magical world of wizardry, spells, and mythical beasts inhabited by Harry Potter and his friends. But what most readers don¡¯t know is that there is a centuries-old trove of true history, folklore, and mythology behind Harry¡¯s fantastic universe. Now, with The Sorcerer¡¯s Companion, those without access to the Hogwarts Library can school themselves in the fascinating reality behind J. K. Rowling¡¯s world of magic. Newly updated to include Harry Potter and the Order of the Phoenix, The Sorcerer¡¯s Companion allows curious readers to look up anything magical from the Harry Potter books and discover a wealth of entertaining, unexpected information. Wands and wizards, boggarts and broomsticks, hippogriffs and herbology, all have astonishing histories rooted in legend, literature, or real-life events dating back hundreds or even thousands of years. Magic wands, like those sold in Rowling¡¯s Diagon Alley, were once fashioned by Druid sorcerers out of their sacred yew trees. Love potions were first concocted in ancient Greece and Egypt. And books of spells and curses were highly popular during the Middle Ages. From Amulets to Zombies, you¡¯ll also learn:<U+2022>how to read tea leaves <U+2022>where to find a basilisk today <U+2022>how King Frederick II of Denmark financed a war with a unicorn horn <U+2022>who the real Merlin was <U+2022>how to safely harvest mandrake root <U+2022>who wore the first invisibility cloak<U+2022>how to get rid of a goblin <U+2022>why owls were feared in the ancient world<U+2022>what really lies beyond the Veil<U+2022>the origins of our modern-day ¡°bogeyman,¡± and more. A spellbinding tour of Harry¡¯s captivating world, The Sorcerer¡¯s Companion is a must for every Potter aficionado¡¯s bookshelf.The Sorcerer's Companion has not been prepared, approved, or licensed by any person or entity that created, published, or produced the Harry Potter books or related properties."
"24","Mugglenet.Com's What Will Happen in Harry Potter 7: Who Lives, Who Dies, Who Falls in Love and How Will the Adventure Finally End?","Ben Schoen, Andy Gordon, Gretchen Stull, Emerson Spartz, Jamie Lawrence","4.26","9663","118","As anticipation of the final Harry Potter book intensifies, a debate is raging among fans about what¡¯s in store for Harry and the rest of the gang at Hogwarts. In this book, the experts at MuggleNet.com present a wide range of hard facts and bold predictions about the most popular storylines, favorite characters, and final outcome of the Harry Potter saga. Drawing on their intimate knowledge of the previous six books as well as tips and suggestions made by millions of MuggleNet.com fans (not to mention a personal interview with J.K. Rowling), the authors offer answers to the burning questions of Harry Potter readers everywhere: Will Hogwarts School be open for Harry¡¯s final year, and will Harry even be in attendance? Will Harry¡¯s quest for the remaining Horcruxes be rewarded? Where do Severus Snape¡¯s true loyalties lie? And, most importantly, will Harry survive the final battle with Lord Voldemort?"
"25","Harry Potter: A Pop-Up Book: Based on the Film Phenomenon","Andrew Williamson, Andrew Williamson","4.64","51342","62","This collectible Harry Potter pop-up book, based on the creative development of the films, features exquisite original artwork by Andrew Williamson, concept artist for all eight movies. With dynamic pop-ups animating memorable moments and locations <U+2014> like the Triwizard Tournament, Diagon Alley, and Hogwarts Castle <U+2014> Harry Potter: A Pop-Up Book offers a 3-D glimpse into the amazing world, as seen in the films. This deluxe book will delight Harry Potter fans with dynamic pop-up ingenuity, insights from the creative team who turned JK Rowling¡¯s stories into movie magic, fascinating facts about the magical universe seen in the movies, and Harry Potter memories and memorabilia packed into every page."
"26","Harry Potter: A Journey Through Charms and Defence Against the Dark Arts","Pottermore Publishing, J.K. Rowling","3.96","3423","164","The history of magic is as long as time and as wide as the world. In every culture, in every age, in every place and, probably, in every heart, there is magic. This non-fiction short-form eBook features content which is adapted from the audiobook Harry Potter: A History of Magic <U+2013> inspired by the British Library exhibition of the same name.How to become invisible, to make someone fall in love with you, to transform into another creature: these are all things that people have believed in, yearned for, or feared, throughout history. Spells and charms have captured the imagination for hundreds of years. Warding off evil is also something that has concerned people throughout history. From werewolves to all manner of snakes in the wizarding world, you¡¯d learn how to face a number of strange and frightening forces in Defence Against the Dark Arts classes. This eBook short examines the colourful characters and curious incidents of the real history of magic, and how they relate to the Hogwarts lesson subjects of Charms and Defence Against the Dark Arts from the Harry Potter stories."
"27","Harry Potter and the Methods of Rationality","Eliezer Yudkowsky","4.39","14785","1470","Harry Potter and the Methods of Rationality is a work of alternate-universe Harry Potter fan-fiction wherein Petunia Evans has married an Oxford biochemistry professor and young genius Harry grows up fascinated by science and science fiction. When he finds out that he is a wizard, he tries to apply scientific principles to his study of magic, with sometimes surprising results."
"28","The Ultimate Harry Potter and Philosophy: Hogwarts for Muggles","Gregory Bassham","4.4","7710","176","A philosophical exploration of the entire seven-book Harry Potter seriesHarry Potter has been heralded as one of the most popular book series of all time and the philosophical nature of Harry, Hermione, and Ron's quest to rid the world of its ultimate evil is one of the many things that make this series special. The Ultimate Harry Potter and Philosophy covers all seven titles in J.K. Rowling's groundbreaking series and takes fans back to Godric's Hollow to discuss life after death, to consider what moral reasoning drove Harry to choose death, and to debate whether Sirius Black is a man or a dog.With publication timed to coincide with the release of the movie Harry Potter and the Deathly Hallows (Part 1), this book will be the definitive guide for all fans looking to appreciate the series on a deeper level. Covers a range of intriguing topics such as the redemption of Severus Snape, the power of love, and destiny in the wizarding world Gives you a new perspective on Harry Potter characters, plot lines, and themes Makes a perfect companion to the Harry Potter books and movies Packed with interesting ideas and insights, The Ultimate Harry Potter and Philosophy is an ideal companion for anyone interested in unraveling the subtext and exploring the greater issues at work in the story."
"29","Harry Potter Page to Screen: The Complete Filmmaking Journey","Bob McCabe","4.58","35674","459",NA
"30","Charmed Knits: Projects for Fans of Harry Potter","Alison Hansel","4.17","3821","101","Sit and Knit a Spell You'll soon be knitting enchanting things you didn't know were within your powers. Charmed Knits offers dozens of patterns for items that evoke the mystique of Harry Potter - a Wizard Robe, an Invisibility Shawl, a Quidditch Sweater, Ron's Ragg Raglan, a Clock Blanket, Harry Christmas Ornaments, and more. Easy-to-follow patterns, color photos of the finished projects, and illustrations of special stitch patterns and design elements make it easy for all knitters - from beginners to those at Mrs. Weasley's level - to work knitting magic. Charmed Knits whisks you away on a wonderful journey. Along the way, you can pick patterns inspired by the Weasleys, stock up at Diagon Alley, show your house colors, conjure up gifts, or create pieces to help you feel at home in the magical world of Harry Potter."
"31","The Magical Worlds of Harry Potter: A Treasury of Myths, Legends, and Fascinating Facts","David Colbert","3.99","18709","330","An indispensable source guide to J. K. Rowling's Harry Potter novels--revised and updated with information relating to Harry Potter and the Order of the Phoenix."
"32","Mapping the World of Harry Potter: Science Fiction and Fantasy Writers Explore the Bestselling Series of All Time","Mercedes Lackey, Leah Wilson, Adam-Troy Castro, Roxanne Longstreet Conrad, Elisabeth DeVos, Richard Garfinkle, Roberta Gellis, Marguerite Krause, Susan R. Matthews, Joyce Millman, Daniel P. Moloney, Lawrence Watt-Evans, Martha Wells, Sarah Zettel, James E. Gunn","4.31","2636","56",NA
"33","An Unofficial Muggle's Guide to the Wizarding World: Exploring the Harry Potter Universe","Fionna Boyle","4.35",NA,NA,"From Azkaban to zombies, every aspect of the enthralling universe in J. K. Rowling's Harry Potter series is explained, expanded, and celebrated in a literary guidebook which also includes information on the historical roots of the symbolism and mythology used in the series. Original."
"34","Harry Potter And The Order Of The Phoenix (Piano Solos)","John   Williams, Nicholas Hooper","4.8","6746","0","Watching the characters from J.K. Rowling¡¯s Harry Potter and the Order of the Phoenix¢â come alive is made only more delightful by the extraordinary soundtrack that enhances Harry, Hermione, Ron's adventures. Alfred presents this selection of music from the soundtrack to the major motion picture arranged for advanced solo piano. Titles are * Dumbledore's Army * Fireworks * Flight of the Order of the Phoenix * Loved Ones & Leaving * The Ministry of Magic * Professor Umbridge * The Room of Requirement * (Bonus Selection) Hedwig's Theme."
"35","Harry Potter And The Deathly Hallows: Book 7-- A Detailed Summary About This Book Of J.K. Rowling! And Much More!! (Harry Potter And The Deathly Hallows: ... Book 7, Paperback,Novel,Dvd,Movie,Summary)","The Summary Guy, The Deathly Hallows","4.76",NA,NA,"Harry Potter And The Deathly Hallows: A Detailed Summary, Analysis, And Much More! Deathly Hallows is the seventh and final installment in the Harry Potter series, which was published between 1997 and 2007. And the fact that J.K. Rowling took a decade was significant <U+2013> after all, it meant that a whole generation grew up with Harry, following him from childhood to adulthood. So, of course, when this final book arrived, it was like the last time we all met up with a dear friend, someone we'd known and loved practically forever. All of Harry's readers and friends waited with bated breath to see what would become of the magical world we wanted desperately to be part of, and that we had become a part of as we learned and grew up with him. We're not exaggerating when we say that the end of the Harry Potter series was a worldwide event. Within 24 hours of its release, Deathly Hallows sold a whopping and unprecedented eleven million copies. The story is thrilling and it will keep you interested through the episode. Here Is A Preview Of What You Will Get: In Harry Potter And The Deathly Hallows , you will get a detailed summary of the novel In Harry Potter And The Deathly Hallows , you will find some analysis to strengthen your knowledge about the book In Harry Potter And The Deathly Hallows , you will read about all the theme,style, and much more! Click the Buy Now With One Click Button, and learn everything about Harry Potter And The Deathly Hallows . Tags: harry potter and the deathly hallows, harry potter box set, harry potter merchandise wand books movie, harry potter and the deathly hallows part 1 2 dvd hollows"
"36","The End of Harry Potter?","David Langford","4.43","9050","57","The publication of Harry Potter and the Deathly Hallows, the seventh and final Harry Potter novel, is probably the most eagerly anticipated event in the history of publishing. Even the smallest hints from author J. K. Rowling about what may happen to Harry and his friends have been major news stories.In The End of Harry Potter?, David Langford<U+2014>Potter fan and award-winning writer<U+2014>delves into the many mysteries which remain unsolved. Is Albus Dumbledore really dead? Whose side is Severus Snape really on? What are the remaining horcruxes, where He Who Shall Not Be Named has stashed his soul? Does Harry bear a part of the Dark Lord's soul in his scar, and is this why he understands Parseltongue?J. K. Rowling is the only person who knows the answers to these questions. But in this highly entertaining book, Langford uses his deep knowledge of the six published Harry Potter novels to explore these and other mysteries, and to present a selection of possible outcomes.Only the publication of Harry Potter and the Deathly Hallows will lay these questions to rest, but in the meantime, fans of the series will find David Langford's book entertaining and thought-provoking, and a perfect way to refresh their memory of the first six books in readiness for the last."
"37","Harry Potter's Bookshelf: The Great Books behind the Hogwarts Adventures","John Granger","4.29","1845","91","Harry Potter. The name conjures up J.K. Rowling's wondrous world of magic that has captured the imaginations of millions on both the printed page and the silver screen with bestselling novels and blockbuster films. The true magic found in this children's fantasy series lies not only in its appeal to people of all ages but in its connection to the greater world of classic literature. Harry Potter's Bookshelf: The Great Books Behind the Hogwarts Adventures explores the literary landscape of themes and genres J.K. Rowling artfully wove throughout her novels-and the influential authors and stories that inspired her. From Jane Austen's Emma and Charles Dickens's class struggles, through the gothic romances of Dracula and Frankenstein and the detective mysteries of Dorothy L. Sayers, to the dramatic alchemy of C.S. Lewis, J.R.R. Tolkien, and William Shakespeare, Rowling cast a powerful spell with the great books of English literature that transformed the story of a young wizard into a worldwide pop culture phenomenon."
"38","Harry Potter And The Order Of Phoenix: A Summary About This Novel Of J.K Rowling!! (Harry Potter And The Order Of Phoenix: A Detailed Summary-- Book 5, Box Set, Novel, Rowling)","The Summary Guy","4.74","6305","6","Harry Potter and the Order of the Phoenix: A Detailed Summary About This Novel Of J.K Rowling!!! Harry Potter and the Order of the Phoenix is fifth book in Harry Potter series written by J.K. Rowling, a successful writer of previous four books about a young wizard that enchanted the hearts of both the young and the grown-ups. Maybe the most important thing about this sequel is that it is the longest book of all seven, with its thirty-eight chapters and more than seven hundred pages (total number of pages varies according to the country; Swedish has, for example a thousand pages while UK version has seven hundred sixty six). Similar to the last four books, this one also revolves around young wizard named Harry Potter, his life in Hogwarts School of Witchcraft and Wizardry, his coming of age, relationship with his friends Hermione Granger, Ron Weasley, but difference is that this book revolves more around Harry¡¯s relationship with his godfather Sirius Black, introduced in the third book- Harry Potter and the Prisoner of Azkaban. Also, the fifth book is somewhat more ¡®mature¡¯ and more ¡®sinister¡¯, because here readers learn that lord Voldemort (evil sorcerer and the nemesis of Harry) has indeed returned, along with his followers called ¡®¡¯Death Eaters¡¯¡¯ and that he has taken physical form and that the events that will happen because of their actions will be the core of the story. Here Is A Preview Of What You Will Get: In Harry Potter and the Order of the Phoenix , you will get a detailed summary of the novel In Harry Potter and the Order of the Phoenix , you will find some analysis to strengthen your knowledge about the book In Harry Potter and the Order of the Phoenix , you will get some fun multiple choice quizes, along with answers to help you learn about the novel. Click the Buy Now With One Click Button, and learn everything about Harry Potter and the Order of the Phoenix . Tags: Harry potter and the order of phoenix, harry potter book 5, harry potter series kindle edition book 1-7, harry potter kindle free series, harry potter and the order of phoenix free"
"39","Harry Potter: the Character Vault","Jody Revenson","4.48","2526","164",NA
"40","Harry Potter and History","Nancy R. Reagin","4.37","3538","71","A guide to the history behind the world of Harry Potter just in time for the last Harry Potter movie, Harry Potter and the Deathly Hallows (Part II) Harry Potter lives in a world that is both magical and historical. Hogwarts pupils ride an old-fashioned steam train to school, notes are taken on parchment with quill pens, and Muggle legends come to life in the form of werewolves, witches, and magical spells. This book is the first to explore the real history in which Harry's world is rooted.Did you know that bezoars and mandrakes were fashionable luxury items for centuries? Find out how Europeans first developed the potions, spells, and charms taught at Hogwarts, from Avada Kedavra to love charms. Learn how the European prosecution of witches led to the Statute of Secrecy, meet the real Nicholas Flamel, see how the Malfoys stack up against Muggle English aristocrats, and compare the history of the wizarding world to real-life history. Gives you the historical backdrop to Harry Potter's world Covers topics ranging from how real British boarding schools compare to Hogwarts to how parchment, quills, and scrolls used in the wizarding world were made Includes a timeline comparing the history of the wizarding world to Muggle ""real"" history Filled with fascinating facts and background, Harry Potter and History is an essential companion for every Harry Potter fan."
"41","The End of Harry Potter?","David Langford","4.43","9050","57","The publication of Harry Potter and the Deathly Hallows, the seventh and final Harry Potter novel, is probably the most eagerly anticipated event in the history of publishing. Even the smallest hints from author J. K. Rowling about what may happen to Harry and his friends have been major news stories.In The End of Harry Potter?, David Langford<U+2014>Potter fan and award-winning writer<U+2014>delves into the many mysteries which remain unsolved. Is Albus Dumbledore really dead? Whose side is Severus Snape really on? What are the remaining horcruxes, where He Who Shall Not Be Named has stashed his soul? Does Harry bear a part of the Dark Lord's soul in his scar, and is this why he understands Parseltongue?J. K. Rowling is the only person who knows the answers to these questions. But in this highly entertaining book, Langford uses his deep knowledge of the six published Harry Potter novels to explore these and other mysteries, and to present a selection of possible outcomes.Only the publication of Harry Potter and the Deathly Hallows will lay these questions to rest, but in the meantime, fans of the series will find David Langford's book entertaining and thought-provoking, and a perfect way to refresh their memory of the first six books in readiness for the last."
"42","The Unofficial Harry Potter Cookbook Presents: 10 Summertime Treats","Dinah Bucholz","3.77","1718","65","Free ebook Download! It's summertime and the weather is just right to sit back and relax with a nice, cool . . . pumpkin juice! With July comes backyard barbecues, long afternoons by the pool, and Harry's birthday of course! Celebrate this magical time with The Unofficial Harry Potter Cookbook Presents: 10 Summertime Treats. This free ebook includes 10 decadent treats guaranteed to provide sweet relief from the sultry summertime heat. From icy juices to cool, melt-in-your-mouth sundaes, this summer you can conjure a dessert fit for Hogwarts Hall!Looking to celebrate the tastes of this enchanted world all-year round? Then check out the Unofficial Harry Potter Cookbook ebook and print editions and the Unofficial Harry Potter Sweet Shoppe Kit!"
"43","Repotting Harry Potter: A Professor's Book-By-Book Guide for the Serious Re-Reader","James W. Thomas","4.3","1193","39",NA
